App,Category,Rating,Reviews,Size,Installs
Selfie Camera,BEAUTY,4.20,17934.00,Varies with device,10000000.00
Sweet Selfie Beauty Camera,BEAUTY,4.30,601.00,35M,1000000.00
Colors of white in Urdu,BEAUTY,4.50,36.00,6.7M,100000.00
Selfie Camera Photo Editor & Filter & Sticker,BEAUTY,4.10,187.00,30M,500000.00
Eyes Makeup Beauty Tips,BEAUTY,4.20,30.00,2.9M,100000.00
Photo Editor 2018,BEAUTY,4.50,134.00,17M,100000.00
Step By Step Eyes Makeup Tutorial,BEAUTY,4.40,74.00,2.9M,100000.00
Beauty Camera - Selfie Camera,BEAUTY,4.00,113715.00,Varies with device,100000000.00
Girls Hairstyles,BEAUTY,4.10,3595.00,Varies with device,5000000.00
Mirror Camera (Mirror + Selfie Camera),BEAUTY,4.10,9315.00,2.6M,10000000.00
Beauty Tips - Beauty Tips in Sinhala,BEAUTY,4.40,75.00,4.2M,500000.00
Haircut Tutorials/Haircut Videos,BEAUTY,4.60,38.00,7.1M,100000.00
"Sephora: Skin Care, Beauty Makeup & Fragrance Shop",BEAUTY,4.50,26834.00,57M,10000000.00
"Sticker Camera - Selfie Filters, Beauty Camera",BEAUTY,3.90,2277.00,22M,5000000.00
Filters for B Live,BEAUTY,4.40,2280.00,24M,5000000.00
Facial Wrinkle Reduction,BEAUTY,4.60,184.00,21M,100000.00
Makeup Videos,BEAUTY,3.80,9.00,3.4M,50000.00
Discover Color,BEAUTY,4.00,364.00,6.4M,1000000.00
Eyeliner step by step 2018,BEAUTY,4.30,18.00,3.2M,50000.00
Dresses Ideas & Fashions +3000,BEAUTY,4.50,473.00,8.2M,1000000.00
Step By Step Hairstyles For Women,BEAUTY,4.10,66.00,2.9M,100000.00
Rainbow Camera,BEAUTY,3.70,3871.00,23M,10000000.00
Methods of teeth whitening,BEAUTY,4.70,257.00,4.6M,500000.00
Girls hairstyles 2018,BEAUTY,4.20,62.00,3.1M,100000.00
